# URE CONTROL TOOL V3.0.3
# Computation date: 2019/03/27 17:48:12
# Analysed streams: GAL258
# Analysed PRN: all PRN
# Analysed services: E1E5a
# Analysed period: 2019/03/01
# Sampling: 120s
# Analysis centre for input files: grg
# This file gives the orbital errors, the errors due to the clock models and the UREs (WUL and global average (Av))
# BGD / TGD and DCB values are monitored in single frequency mode
# Two types of clock BRDC/SP3 adjustments are used for computation: mean and median (med).
SVID;YYYY/MM/DD;HH:MM:SS;dX(m);dY(m);dZ(m);d3D(m);dR(m);dAC(m);dH_mean(m);dB_mean(m);dBGD_mean(m);AdjBGD-DCB_mean(m);URE_WUL_mean(m);URE_Av_mean(m);dH_med(m);dB_med(m);dBGD_med(m);AdjBGD-DCB_med(m);URE_WUL_med(m);URE_Av_med(m)
E01;2019/03/01;00:00:00;2.9651E-01;-1.9997E-01;8.3990E-02;3.6737E-01;2.7058E-01;2.4850E-01;1.7362E-01;-8.0228E-02;0.0000E+00;0.0000E+00;1.4414E-01;9.7802E-02;1.4411E-01;-5.0721E-02;0.0000E+00;0.0000E+00;1.7365E-01;1.2607E-01
E02;2019/03/01;00:00:00;5.3186E-02;2.5853E-01;-2.6018E-02;2.6523E-01;3.4143E-02;2.6302E-01;-1.9102E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.8105E-01;2.2710E-01;-2.2053E-01;-5.0721E-02;0.0000E+00;0.0000E+00;3.1056E-01;2.5632E-01
E03;2019/03/01;00:00:00;-1.0875E-02;-1.1714E-01;5.7102E-02;1.3077E-01;3.2163E-02;1.2676E-01;3.8369E-02;-8.0228E-02;0.0000E+00;0.0000E+00;3.4270E-02;1.7539E-02;8.8631E-03;-5.0721E-02;0.0000E+00;0.0000E+00;4.9853E-02;2.7941E-02
E04;2019/03/01;00:00:00;6.9580E-01;2.8470E-01;4.7823E-01;8.9101E-01;-1.6055E-01;8.7642E-01;-4.8266E-01;-8.0228E-02;0.0000E+00;0.0000E+00;5.1474E-01;3.4352E-01;-5.1217E-01;-5.0721E-02;0.0000E+00;0.0000E+00;5.4425E-01;3.7154E-01
E05;2019/03/01;00:00:00;-1.1546E-02;-8.6252E-02;1.7845E-01;1.9854E-01;9.5577E-04;1.9854E-01;-3.0667E-01;-8.0228E-02;0.0000E+00;0.0000E+00;3.5039E-01;3.0866E-01;-3.3618E-01;-5.0721E-02;0.0000E+00;0.0000E+00;3.7989E-01;3.3807E-01
E07;2019/03/01;00:00:00;7.1737E-02;-8.2109E-02;2.6169E-01;2.8350E-01;1.6008E-01;2.3398E-01;2.1219E-01;-8.0228E-02;0.0000E+00;0.0000E+00;1.0629E-01;6.2386E-02;1.8268E-01;-5.0721E-02;0.0000E+00;0.0000E+00;7.6779E-02;3.9135E-02
E08;2019/03/01;00:00:00;1.8092E-01;-7.9810E-02;2.9886E-01;3.5836E-01;1.1251E-01;3.4024E-01;5.9825E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.2335E-01;6.6880E-02;3.0319E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.5285E-01;9.1340E-02
E09;2019/03/01;00:00:00;2.8355E-01;-1.7447E-01;1.6432E-02;3.3333E-01;1.6963E-02;3.3290E-01;-1.6333E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.5163E-01;1.8497E-01;-1.9284E-01;-5.0721E-02;0.0000E+00;0.0000E+00;2.8113E-01;2.1379E-01
E11;2019/03/01;00:00:00;4.1673E-02;-5.3895E-02;-4.6696E-01;4.7191E-01;1.5264E-02;4.7166E-01;1.6615E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.5292E-01;1.6271E-01;1.3664E-01;-5.0721E-02;0.0000E+00;0.0000E+00;2.2341E-01;1.3574E-01
E12;2019/03/01;00:00:00;2.3300E-01;1.1513E-01;1.3941E-02;2.6027E-01;-1.3822E-02;2.5990E-01;7.8681E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.4818E-01;9.8066E-02;4.9175E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.1867E-01;7.1009E-02
E13;2019/03/01;00:00:00;-8.5283E-02;-2.0838E-02;5.6809E-02;1.0457E-01;-4.1579E-02;9.5947E-02;-4.0009E-02;-8.0228E-02;0.0000E+00;0.0000E+00;2.1265E-02;1.2291E-02;-6.9515E-02;-5.0721E-02;0.0000E+00;0.0000E+00;4.9585E-02;3.1137E-02
E15;2019/03/01;00:00:00;2.6732E-01;-4.6400E-02;-1.7881E-01;3.2493E-01;1.3594E-02;3.2465E-01;-1.8661E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.0191E-01;5.2403E-02;-4.8168E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.3141E-01;7.4209E-02
E19;2019/03/01;00:00:00;2.7786E-01;-7.0354E-02;6.6241E-02;2.9419E-01;2.4048E-01;1.6945E-01;2.7397E-01;-8.0228E-02;0.0000E+00;0.0000E+00;7.5650E-02;4.3283E-02;2.4446E-01;-5.0721E-02;0.0000E+00;0.0000E+00;4.6143E-02;2.3097E-02
E21;2019/03/01;00:00:00;-2.5871E-01;1.5919E-01;8.0185E-02;3.1416E-01;-1.5204E-01;2.7492E-01;-1.0857E-01;-8.0228E-02;0.0000E+00;0.0000E+00;9.9126E-02;5.3961E-02;-1.3808E-01;-5.0721E-02;0.0000E+00;0.0000E+00;6.9620E-02;3.6950E-02
E24;2019/03/01;00:00:00;3.6246E-02;5.7629E-02;3.1585E-01;3.2310E-01;1.8049E-01;2.6799E-01;1.5865E-01;-8.0228E-02;0.0000E+00;0.0000E+00;7.5346E-02;3.9097E-02;1.2914E-01;-5.0721E-02;0.0000E+00;0.0000E+00;1.0485E-01;5.9263E-02
E25;2019/03/01;00:00:00;8.0868E-02;2.9713E-01;2.2433E-01;3.8099E-01;6.3112E-02;3.7572E-01;-3.7496E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.8008E-01;1.1053E-01;-6.7003E-02;-5.0721E-02;0.0000E+00;0.0000E+00;2.0959E-01;1.3771E-01
E26;2019/03/01;00:00:00;1.5457E-01;1.5459E-01;-1.2741E-02;2.1898E-01;1.7672E-01;1.2932E-01;1.6723E-01;-8.0228E-02;0.0000E+00;0.0000E+00;3.3201E-02;1.7805E-02;1.3772E-01;-5.0721E-02;0.0000E+00;0.0000E+00;6.2707E-02;3.9695E-02
E27;2019/03/01;00:00:00;8.7934E-02;-7.2520E-04;-2.3040E-02;9.0905E-02;5.9991E-03;9.0707E-02;1.2489E-01;-8.0228E-02;0.0000E+00;0.0000E+00;1.3858E-01;1.1955E-01;9.5383E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.0907E-01;9.0230E-02
E30;2019/03/01;00:00:00;1.1101E-01;1.5702E-01;-3.5468E-01;4.0346E-01;1.0241E-01;3.9025E-01;3.8149E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.4596E-01;8.0003E-02;8.6426E-03;-5.0721E-02;0.0000E+00;0.0000E+00;1.7546E-01;1.0471E-01
E31;2019/03/01;00:00:00;7.7145E-02;9.2916E-03;8.4857E-02;1.1506E-01;5.5235E-02;1.0093E-01;-6.6967E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.4265E-01;1.2197E-01;-9.6473E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.7216E-01;1.5135E-01
E33;2019/03/01;00:00:00;1.6089E-01;6.3605E-02;1.1363E-01;2.0698E-01;1.7963E-01;1.0283E-01;2.0864E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.7670E-01;1.5636E-01;-8.6426E-03;-5.0721E-02;0.0000E+00;0.0000E+00;2.0621E-01;1.8578E-01
E36;2019/03/01;00:00:00;1.3708E-01;4.6509E-03;-2.8383E-01;3.1523E-01;7.6784E-02;3.0574E-01;-9.7196E-02;-8.0228E-02;0.0000E+00;0.0000E+00;2.3808E-01;1.7707E-01;-1.2670E-01;-5.0721E-02;0.0000E+00;0.0000E+00;2.6758E-01;2.0596E-01
E01;2019/03/01;00:02:00;2.7679E-01;-2.0586E-01;7.3971E-02;3.5280E-01;2.5855E-01;2.4003E-01;1.3779E-01;-9.0074E-02;0.0000E+00;0.0000E+00;1.6641E-01;1.2048E-01;1.0567E-01;-5.7955E-02;0.0000E+00;0.0000E+00;1.9853E-01;1.5176E-01
E02;2019/03/01;00:02:00;5.4532E-02;2.5600E-01;-1.7654E-02;2.6234E-01;3.5226E-02;2.5996E-01;-1.8073E-01;-9.0074E-02;0.0000E+00;0.0000E+00;2.7116E-01;2.1792E-01;-2.1285E-01;-5.7955E-02;0.0000E+00;0.0000E+00;3.0328E-01;2.4971E-01
E03;2019/03/01;00:02:00;-1.0312E-02;-1.2197E-01;5.7484E-02;1.3523E-01;3.1384E-02;1.3154E-01;4.8756E-02;-9.0074E-02;0.0000E+00;0.0000E+00;4.6448E-02;2.4545E-02;1.6637E-02;-5.7955E-02;0.0000E+00;0.0000E+00;4.2350E-02;2.2021E-02
E04;2019/03/01;00:02:00;6.9900E-01;2.8865E-01;4.8549E-01;8.9868E-01;-1.5739E-01;8.8479E-01;-4.7586E-01;-9.0074E-02;0.0000E+00;0.0000E+00;5.1283E-01;3.4038E-01;-5.0798E-01;-5.7955E-02;0.0000E+00;0.0000E+00;5.4495E-01;3.7083E-01
E05;2019/03/01;00:02:00;-1.6716E-02;-8.7958E-02;1.7559E-01;1.9710E-01;4.7429E-03;1.9704E-01;-2.9988E-01;-9.0074E-02;0.0000E+00;0.0000E+00;3.4697E-01;3.0559E-01;-3.3200E-01;-5.7955E-02;0.0000E+00;0.0000E+00;3.7909E-01;3.3761E-01
E07;2019/03/01;00:02:00;1.2865E-01;-1.0381E-01;2.9416E-01;3.3743E-01;1.8642E-01;2.8126E-01;2.1150E-01;-9.0074E-02;0.0000E+00;0.0000E+00;9.0066E-02;4.5663E-02;1.7938E-01;-5.7955E-02;0.0000E+00;0.0000E+00;6.3258E-02;3.6162E-02
E08;2019/03/01;00:02:00;2.6034E-01;-1.1757E-01;3.8110E-01;4.7627E-01;1.1928E-01;4.6109E-01;3.5851E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.7997E-01;1.0053E-01;3.7311E-03;-5.7955E-02;0.0000E+00;0.0000E+00;2.1209E-01;1.2795E-01
E09;2019/03/01;00:02:00;2.7896E-01;-1.7477E-01;1.7417E-02;3.2964E-01;1.9545E-02;3.2906E-01;-1.5470E-01;-9.0074E-02;0.0000E+00;0.0000E+00;2.4469E-01;1.7893E-01;-1.8682E-01;-5.7955E-02;0.0000E+00;0.0000E+00;2.7681E-01;2.1029E-01
E11;2019/03/01;00:02:00;3.4959E-02;-6.2826E-02;-4.7573E-01;4.8113E-01;1.8868E-02;4.8076E-01;1.7546E-01;-9.0074E-02;0.0000E+00;0.0000E+00;2.6067E-01;1.6850E-01;1.4334E-01;-5.7955E-02;0.0000E+00;0.0000E+00;2.2855E-01;1.3908E-01
E12;2019/03/01;00:02:00;2.3609E-01;1.1270E-01;1.3230E-02;2.6194E-01;-1.0373E-02;2.6173E-01;8.7570E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.5410E-01;1.0333E-01;5.5450E-02;-5.7955E-02;0.0000E+00;0.0000E+00;1.2198E-01;7.3676E-02
E13;2019/03/01;00:02:00;-5.0491E-02;-5.9987E-02;4.7936E-02;9.1900E-02;-7.2662E-02;5.6266E-02;-6.9906E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.3172E-02;7.3645E-03;-1.0203E-01;-5.7955E-02;0.0000E+00;0.0000E+00;4.3193E-02;3.1399E-02
E15;2019/03/01;00:02:00;2.7540E-01;-4.3747E-02;-1.7697E-01;3.3027E-01;1.3692E-02;3.2999E-01;-9.8750E-03;-9.0074E-02;0.0000E+00;0.0000E+00;9.4368E-02;4.8186E-02;-4.1995E-02;-5.7955E-02;0.0000E+00;0.0000E+00;1.2649E-01;6.9664E-02
E19;2019/03/01;00:02:00;2.8284E-01;-7.0808E-02;6.6481E-02;2.9905E-01;2.4679E-01;1.6890E-01;2.8718E-01;-9.0074E-02;0.0000E+00;0.0000E+00;8.2576E-02;4.9438E-02;2.5506E-01;-5.7955E-02;0.0000E+00;0.0000E+00;5.0456E-02;2.4891E-02
E21;2019/03/01;00:02:00;-2.6706E-01;1.5584E-01;8.2536E-02;3.2003E-01;-1.5624E-01;2.7930E-01;-9.9090E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.1365E-01;6.5204E-02;-1.3121E-01;-5.7955E-02;0.0000E+00;0.0000E+00;8.1530E-02;4.2163E-02
E24;2019/03/01;00:02:00;7.0335E-02;5.0451E-02;2.0356E-01;2.2120E-01;1.0988E-01;1.9198E-01;1.1827E-01;-9.0074E-02;0.0000E+00;0.0000E+00;5.2346E-02;2.6571E-02;8.6152E-02;-5.7955E-02;0.0000E+00;0.0000E+00;6.2512E-02;3.2892E-02
E25;2019/03/01;00:02:00;8.3902E-02;2.9977E-01;2.2697E-01;3.8525E-01;6.2086E-02;3.8022E-01;-2.7640E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.7019E-01;1.0113E-01;-5.9760E-02;-5.7955E-02;0.0000E+00;0.0000E+00;2.0231E-01;1.3022E-01
E26;2019/03/01;00:02:00;1.8189E-01;1.1533E-01;5.8972E-02;2.2330E-01;2.0456E-01;8.9554E-02;1.6359E-01;-9.0074E-02;0.0000E+00;0.0000E+00;5.5458E-02;3.9310E-02;1.3147E-01;-5.7955E-02;0.0000E+00;0.0000E+00;8.7578E-02;7.0654E-02
E27;2019/03/01;00:02:00;7.9206E-02;1.4446E-03;-1.8089E-02;8.1258E-02;4.5247E-03;8.1132E-02;1.3269E-01;-9.0074E-02;0.0000E+00;0.0000E+00;1.4576E-01;1.2866E-01;1.0057E-01;-5.7955E-02;0.0000E+00;0.0000E+00;1.1364E-01;9.6681E-02
E30;2019/03/01;00:02:00;1.5612E-01;1.8582E-01;-3.9260E-01;4.6156E-01;9.6346E-02;4.5139E-01;3.5618E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.5575E-01;8.2601E-02;3.4986E-03;-5.7955E-02;0.0000E+00;0.0000E+00;1.8787E-01;1.0795E-01
E31;2019/03/01;00:02:00;8.4133E-02;6.2705E-03;8.2959E-02;1.1832E-01;6.0788E-02;1.0151E-01;-5.6162E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.3739E-01;1.1667E-01;-8.8282E-02;-5.7955E-02;0.0000E+00;0.0000E+00;1.6951E-01;1.4863E-01
E33;2019/03/01;00:02:00;1.6198E-01;6.4800E-02;1.1492E-01;2.0891E-01;1.8216E-01;1.0229E-01;2.8621E-02;-9.0074E-02;0.0000E+00;0.0000E+00;1.7129E-01;1.5110E-01;-3.4986E-03;-5.7955E-02;0.0000E+00;0.0000E+00;2.0341E-01;1.8312E-01
E36;2019/03/01;00:02:00;1.3428E-01;-2.8935E-03;-2.8726E-01;3.1711E-01;8.2047E-02;3.0631E-01;-8.9061E-02;-9.0074E-02;0.0000E+00;0.0000E+00;2.3520E-01;1.7421E-01;-1.2118E-01;-5.7955E-02;0.0000E+00;0.0000E+00;2.6732E-01;2.0563E-01
E01;2019/03/01;00:04:00;2.7716E-01;-2.1076E-01;6.9626E-02;3.5509E-01;2.5987E-01;2.4198E-01;1.4377E-01;-9.5508E-02;0.0000E+00;0.0000E+00;1.6213E-01;1.1601E-01;1.2529E-01;-7.7027E-02;0.0000E+00;0.0000E+00;1.8061E-01;1.3392E-01
E02;2019/03/01;00:04:00;1.4790E-02;1.1632E-01;5.5858E-02;1.2988E-01;5.4843E-02;1.1773E-01;-1.2351E-01;-9.5508E-02;0.0000E+00;0.0000E+00;2.0244E-01;1.7808E-01;-1.4199E-01;-7.7027E-02;0.0000E+00;0.0000E+00;2.2092E-01;1.9651E-01
E03;2019/03/01;00:04:00;-9.4690E-03;-1.2480E-01;5.8272E-02;1.3806E-01;3.0428E-02;1.3466E-01;5.4733E-02;-9.5508E-02;0.0000E+00;0.0000E+00;5.4030E-02;3.0188E-02;3.6251E-02;-7.7027E-02;0.0000E+00;0.0000E+00;3.5549E-02;1.8330E-02
E04;2019/03/01;00:04:00;7.0256E-01;2.9199E-01;4.9291E-01;9.0653E-01;-1.5373E-01;8.9340E-01;-4.7348E-01;-9.5508E-02;0.0000E+00;0.0000E+00;5.1588E-01;3.4190E-01;-4.9197E-01;-7.7027E-02;0.0000E+00;0.0000E+00;5.3437E-01;3.5938E-01
E05;2019/03/01;00:04:00;-2.2117E-02;-8.8516E-02;1.7343E-01;1.9597E-01;8.0377E-03;1.9580E-01;-2.9749E-01;-9.5508E-02;0.0000E+00;0.0000E+00;3.4753E-01;3.0642E-01;-3.1597E-01;-7.7027E-02;0.0000E+00;0.0000E+00;3.6601E-01;3.2484E-01
E07;2019/03/01;00:04:00;1.2530E-01;-1.0964E-01;2.9473E-01;3.3851E-01;1.8302E-01;2.8477E-01;2.1920E-01;-9.5508E-02;0.0000E+00;0.0000E+00;1.0183E-01;5.3484E-02;2.0072E-01;-7.7027E-02;0.0000E+00;0.0000E+00;8.3348E-02;4.1873E-02
E08;2019/03/01;00:04:00;2.5923E-01;-1.2188E-01;3.8207E-01;4.7753E-01;1.1506E-01;4.6346E-01;3.9134E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.7307E-01;9.4791E-02;2.0652E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.9156E-01;1.0983E-01
E09;2019/03/01;00:04:00;2.7372E-01;-1.7508E-01;1.8419E-02;3.2544E-01;2.2237E-02;3.2468E-01;-1.5047E-01;-9.5508E-02;0.0000E+00;0.0000E+00;2.4214E-01;1.7726E-01;-1.6895E-01;-7.7027E-02;0.0000E+00;0.0000E+00;2.6063E-01;1.9528E-01
E11;2019/03/01;00:04:00;2.7684E-02;3.3178E-02;-4.0366E-01;4.0596E-01;-7.2986E-02;3.9935E-01;9.3120E-02;-9.5508E-02;0.0000E+00;0.0000E+00;2.5047E-01;1.7261E-01;7.4638E-02;-7.7027E-02;0.0000E+00;0.0000E+00;2.3199E-01;1.5505E-01
E12;2019/03/01;00:04:00;2.3985E-01;1.1059E-01;1.2743E-02;2.6443E-01;-6.8434E-03;2.6434E-01;9.2061E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.5570E-01;1.0440E-01;7.3579E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.3722E-01;8.7120E-02
E13;2019/03/01;00:04:00;-5.1718E-02;-5.9263E-02;4.5671E-02;9.0954E-02;-7.2535E-02;5.4876E-02;-6.4473E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.8181E-02;9.8191E-03;-8.2955E-02;-7.7027E-02;0.0000E+00;0.0000E+00;2.3947E-02;1.3574E-02
E15;2019/03/01;00:04:00;2.8245E-01;2.9027E-03;-1.4443E-01;3.1725E-01;2.5573E-02;3.1621E-01;-1.2769E-04;-9.5508E-02;0.0000E+00;0.0000E+00;9.3254E-02;4.7654E-02;-1.8610E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.1174E-01;5.9555E-02
E19;2019/03/01;00:04:00;2.8712E-01;-7.1792E-02;6.6565E-02;3.0336E-01;2.5246E-01;1.6819E-01;2.9599E-01;-9.5508E-02;0.0000E+00;0.0000E+00;8.5695E-02;5.2327E-02;2.7751E-01;-7.7027E-02;0.0000E+00;0.0000E+00;6.7213E-02;3.6287E-02
E21;2019/03/01;00:04:00;-2.7446E-01;1.5302E-01;8.5401E-02;3.2563E-01;-1.6017E-01;2.8352E-01;-9.4021E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.2347E-01;7.3114E-02;-1.1250E-01;-7.7027E-02;0.0000E+00;0.0000E+00;1.0499E-01;5.7791E-02
E24;2019/03/01;00:04:00;7.2869E-02;4.9808E-02;2.0702E-01;2.2505E-01;1.1160E-01;1.9543E-01;1.2530E-01;-9.5508E-02;0.0000E+00;0.0000E+00;5.8439E-02;2.9416E-02;1.0682E-01;-7.7027E-02;0.0000E+00;0.0000E+00;4.4270E-02;2.5146E-02
E25;2019/03/01;00:04:00;8.5959E-02;3.0230E-01;2.2961E-01;3.8923E-01;6.1504E-02;3.8434E-01;-2.2193E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.6507E-01;9.6162E-02;-4.0674E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.8355E-01;1.1245E-01
E26;2019/03/01;00:04:00;1.8143E-01;1.1569E-01;6.0614E-02;2.2355E-01;2.0587E-01;8.7127E-02;1.6917E-01;-9.5508E-02;0.0000E+00;0.0000E+00;5.0642E-02;3.5137E-02;1.5068E-01;-7.7027E-02;0.0000E+00;0.0000E+00;6.9124E-02;5.2985E-02
E27;2019/03/01;00:04:00;1.2086E-01;-4.1142E-02;-4.3162E-02;1.3477E-01;-1.5354E-02;1.3390E-01;1.0444E-01;-9.5508E-02;0.0000E+00;0.0000E+00;1.4829E-01;1.2076E-01;8.5961E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.2981E-01;1.0250E-01
E30;2019/03/01;00:04:00;1.3336E-01;1.5431E-01;-2.9897E-01;3.6192E-01;7.0133E-02;3.5506E-01;5.0085E-03;-9.5508E-02;0.0000E+00;0.0000E+00;1.4000E-01;7.8418E-02;-1.3473E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.5848E-01;9.4103E-02
E31;2019/03/01;00:04:00;9.0176E-02;3.4274E-03;8.1535E-02;1.2162E-01;6.5705E-02;1.0234E-01;-4.9765E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.3598E-01;1.1513E-01;-6.8247E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.5446E-01;1.3351E-01
E33;2019/03/01;00:04:00;1.6355E-01;6.5511E-02;1.1629E-01;2.1110E-01;1.8505E-01;1.0159E-01;3.1955E-02;-9.5508E-02;0.0000E+00;0.0000E+00;1.7063E-01;1.5060E-01;1.3473E-02;-7.7027E-02;0.0000E+00;0.0000E+00;1.8911E-01;1.6902E-01
E36;2019/03/01;00:04:00;1.0187E-01;6.3328E-02;-3.1864E-01;3.4047E-01;6.9055E-02;3.3340E-01;-9.8350E-02;-9.5508E-02;0.0000E+00;0.0000E+00;2.3764E-01;1.7163E-01;-1.1683E-01;-7.7027E-02;0.0000E+00;0.0000E+00;2.5613E-01;1.8959E-01
E01;2019/03/01;00:06:00;2.7741E-01;-2.1499E-01;6.5855E-02;3.5709E-01;2.6058E-01;2.4414E-01;1.4478E-01;-9.5964E-02;0.0000E+00;0.0000E+00;1.6228E-01;1.1579E-01;1.2699E-01;-7.8176E-02;0.0000E+00;0.0000E+00;1.8007E-01;1.3301E-01
E02;2019/03/01;00:06:00;1.4755E-02;1.1143E-01;6.0516E-02;1.2766E-01;5.5735E-02;1.1485E-01;-1.2208E-01;-9.5964E-02;0.0000E+00;0.0000E+00;2.0126E-01;1.7750E-01;-1.3987E-01;-7.8176E-02;0.0000E+00;0.0000E+00;2.1905E-01;1.9523E-01
E03;2019/03/01;00:06:00;-8.1050E-03;-1.2560E-01;5.9440E-02;1.3919E-01;2.9034E-02;1.3613E-01;5.5723E-02;-9.5964E-02;0.0000E+00;0.0000E+00;5.6697E-02;3.2257E-02;3.7935E-02;-7.8176E-02;0.0000E+00;0.0000E+00;3.8910E-02;1.9759E-02
E04;2019/03/01;00:06:00;7.0642E-01;2.9444E-01;5.0049E-01;9.1445E-01;-1.4949E-01;9.0214E-01;-4.7609E-01;-9.5964E-02;0.0000E+00;0.0000E+00;5.2451E-01;3.4866E-01;-4.9388E-01;-7.8176E-02;0.0000E+00;0.0000E+00;5.4230E-01;3.6550E-01
E05;2019/03/01;00:06:00;-2.7393E-02;-8.8085E-02;1.7191E-01;1.9510E-01;1.0612E-02;1.9481E-01;-3.0007E-01;-9.5964E-02;0.0000E+00;0.0000E+00;3.5241E-01;3.1151E-01;-3.1786E-01;-7.8176E-02;0.0000E+00;0.0000E+00;3.7020E-01;3.2924E-01
E07;2019/03/01;00:06:00;1.2191E-01;-1.1504E-01;2.9534E-01;3.3959E-01;1.7995E-01;2.8799E-01;2.2193E-01;-9.5964E-02;0.0000E+00;0.0000E+00;1.0826E-01;5.8093E-02;2.0414E-01;-7.8176E-02;0.0000E+00;0.0000E+00;9.0469E-02;4.5740E-02
E08;2019/03/01;00:06:00;2.5848E-01;-1.2468E-01;3.8251E-01;4.7820E-01;1.1086E-01;4.6517E-01;3.7432E-02;-9.5964E-02;0.0000E+00;0.0000E+00;1.7105E-01;9.3051E-02;1.9644E-02;-7.8176E-02;0.0000E+00;0.0000E+00;1.8884E-01;1.0734E-01
E09;2019/03/01;00:06:00;2.6815E-01;-1.7567E-01;1.9446E-02;3.2116E-01;2.5097E-02;3.2018E-01;-1.5121E-01;-9.5964E-02;0.0000E+00;0.0000E+00;2.4471E-01;1.8059E-01;-1.6900E-01;-7.8176E-02;0.0000E+00;0.0000E+00;2.6250E-01;1.9796E-01
E11;2019/03/01;00:06:00;2.1902E-02;2.6822E-02;-4.1049E-01;4.1195E-01;-7.1230E-02;4.0574E-01;9.2038E-02;-9.5964E-02;0.0000E+00;0.0000E+00;2.4905E-01;1.7018E-01;7.4251E-02;-7.8176E-02;0.0000E+00;0.0000E+00;2.3127E-01;1.5333E-01
E12;2019/03/01;00:06:00;2.4458E-01;1.0893E-01;1.2433E-02;2.6803E-01;-3.2464E-03;2.6801E-01;9.1584E-02;-9.5964E-02;0.0000E+00;0.0000E+00;1.5250E-01;1.0077E-01;7.3796E-02;-7.8176E-02;0.0000E+00;0.0000E+00;1.3472E-01;8.4259E-02
E13;2019/03/01;00:06:00;-5.2950E-02;-5.9381E-02;4.3795E-02;9.0818E-02;-7.3203E-02;5.3751E-02;-6.4013E-02;-9.5964E-02;0.0000E+00;0.0000E+00;1.9052E-02;1.0537E-02;-8.1801E-02;-7.8176E-02;0.0000E+00;0.0000E+00;2.1898E-02;1.1977E-02
E15;2019/03/01;00:06:00;2.8934E-01;6.6236E-03;-1.4264E-01;3.2266E-01;2.5893E-02;3.2162E-01;-7.1037E-04;-9.5964E-02;0.0000E+00;0.0000E+00;9.5315E-02;4.8717E-02;-1.8498E-02;-7.8176E-02;0.0000E+00;0.0000E+00;1.1310E-01;6.0175E-02
E19;2019/03/01;00:06:00;2.9047E-01;-7.3419E-02;6.6512E-02;3.0690E-01;2.5722E-01;1.6740E-01;2.9981E-01;-9.5964E-02;0.0000E+00;0.0000E+00;8.4693E-02;5.1498E-02;2.8202E-01;-7.8176E-02;0.0000E+00;0.0000E+00;6.6905E-02;3.6090E-02
E21;2019/03/01;00:06:00;-2.8075E-01;1.5095E-01;8.8756E-02;3.3089E-01;-1.6369E-01;2.8756E-01;-9.3925E-02;-9.5964E-02;0.0000E+00;0.0000E+00;1.2787E-01;7.6473E-02;-1.1171E-01;-7.8176E-02;0.0000E+00;0.0000E+00;1.1009E-01;6.1470E-02
E24;2019/03/01;00:06:00;7.4340E-02;4.8995E-02;2.1046E-01;2.2852E-01;1.1326E-01;1.9848E-01;1.2735E-01;-9.5964E-02;0.0000E+00;0.0000E+00;5.9522E-02;2.9966E-02;1.0956E-01;-7.8176E-02;0.0000E+00;0.0000E+00;4.3806E-02;2.5428E-02
E25;2019/03/01;00:06:00;8.6879E-02;3.0451E-01;2.3222E-01;3.9268E-01;6.1467E-02;3.8784E-01;-2.1719E-02;-9.5964E-02;0.0000E+00;0.0000E+00;1.6531E-01;9.5954E-02;-3.9507E-02;-7.8176E-02;0.0000E+00;0.0000E+00;1.8310E-01;1.1157E-01
