# session code, date, session, scheduled NYALE13S, scheduled NYALES20
R41006, 2021-07-08, XE, 2314, 2449
R11007, 2021-07-12, XA, 2306, 2929
R41007, 2021-07-15, XE, 2308, 2411
R11008, 2021-07-19, XA, 2602, 2953
R41008, 2021-07-22, XE, 2091, 2221
R11009, 2021-07-26, XA, 1720, 1421
R41009, 2021-07-29, XE, 1515, 999
R11010, 2021-08-02, XA, 2389, 2477
R41010, 2021-08-04, XE, 1871, 1897
R11011, 2021-08-10, XA, 2685, 2674
R41011, 2021-08-12, XE, 1913, 1907
R11012, 2021-08-17, XA, 2612, 2781
R41012, 2021-08-19, XE, 1681, 0
R11013, 2021-08-23, XA, 2242, 0
R41013, 2021-08-26, XE, 1897, 0
R11014, 2021-08-30, XA, 1596, 0
R41014, 2021-09-02, XE, 1782, 0
R11015, 2021-09-07, XA, 1893, 0
R41015, 2021-09-09, XE, 1529, 0
R11016, 2021-09-13, XA, 495, 0
R41016, 2021-09-16, XE, 1846, 0
R11017, 2021-09-20, XA, 498, 1598
R11018, 2021-09-27, XA, 900, 2266
R41018, 2021-09-30, XE, 1822, 1799
R11019, 2021-10-04, XA, 841, 1916
R41019, 2021-10-07, XE, 1889, 1893
R11020, 2021-10-04, XA, 898, 2077
R41020, 2021-10-14, XE, 1820, 0
R11021, 2021-10-18, XA, 1297, 1165
R41021, 2021-10-21, XE, 1967, 1917
R11022, 2021-10-25, XA, 332, 439
R41022, 2021-10-28, XE, 1571, 1571
R11023, 2021-11-02, XA, 241, 373
R41023, 2021-11-04, XE, 1720, 1696
R11024, 2021-11-08, XA, 406, 500
R41024, 2021-11-11, XE, 1536, 1525
R11025, 2021-11-15, XA, 1595, 1769
R41025, 2021-11-18, XE, 1973, 2004
R11026, 2021-11-23, XA, 1818, 3206
R41026, 2021-11-25, XE, 1557, 1571
R11027, 2021-11-29, XA, 1849, 2980
R41027, 2021-12-02, XE, 1937, 1920
R11028, 2021-12-06, XA, 1531, 2491
R41028, 2021-12-09, XE, 1970, 1413
R11029, 2021-12-13, XA, 1496, 2847
R41029, 2021-12-16, XE, 1820, 1843
R11030, 2021-12-20, XA, 1839, 2838
R41030, 2021-12-22, XE, 1911, 1961
R11031, 2021-12-27, XA, 1828, 2714
R41031, 2021-12-29, XE, 1979, 2024
R11032, 2022-01-03, XA, 1461, 2452
R41032, 2022-01-06, XE, 1625, 1597
R11033, 2022-01-10, XA, 1702, 2607
R41033, 2022-01-13, XE, 2028, 2034
R11034, 2022-01-18, XA, 1189, 2048
R41034, 2022-01-20, XE, 1971, 2021
R11035, 2022-01-24, XA, 1353, 2437
R41035, 2022-01-27, XE, 2082, 2119
R11036, 2022-01-31, XA, 2108, 2869
R41036, 2022-02-03, XE, 2165, 2171
R11037, 2022-02-07, XA, 2465, 3585
R41037, 2022-02-10, XE, 2447, 2393
R11038, 2022-02-14, XA, 1787, 2615
R41038, 2022-02-17, XE, 2018, 2085
R11039, 2022-02-21, XA, 1565, 2494
R41039, 2022-02-24, XE, 2259, 2213
R11040, 2022-02-28, XA, 2207, 3041
R41040, 2022-03-03, XE, 2115, 2095
R11041, 2022-03-07, XA, 1505, 2312
R41041, 2022-03-10, XE, 2274, 2207
R11042, 2022-03-14, XA, 1267, 1895
R41042, 2022-03-17, XE, 1864, 1876
R11043, 2022-03-22, XA, 1282, 1938
R41043, 2022-03-24, XE, 2138, 2131
R11044, 2022-03-28, XA, 1124, 2042
R41044, 2022-03-31, XE, 1594, 1966
R11045, 2022-04-04, XA, 1344, 1957
R41045, 2022-04-07, XE, 1811, 2177
R11046, 2022-04-11, XA, 1067, 1805
R41046, 2022-04-13, XE,    0,    0
R11047, 2022-04-19, XA, 1405, 2194
R41047, 2022-04-21, XE, 1278, 1548
R11048, 2022-04-25, XA, 1820, 2635
R41048, 2022-04-28, XE, 1425, 1647
R11049, 2022-05-03, XA, 1341, 2298
R41049, 2022-05-05, XE, 1176, 1484
R11050, 2022-05-09, XA, 1368, 1904
R41050, 2022-05-12, XE, 1547, 1799
R11051, 2022-05-16, XA, 0   ,    0
R41051, 2022-05-19, XE, 1084, 1229
R11052, 2022-05-23, XA, 1800, 2536
R41052, 2022-05-26, XE,    0,    0
